step,eval_return,eval_std,elapsed_s
1000,-1448.9859994418005,177.3066285479527,0.10547971725463867
2000,-1700.8598133638384,154.76159918837294,1.4824271202087402
3000,-1122.8654807686771,143.93509520251186,2.8268020153045654
4000,-422.4098937700801,174.55331258856947,4.1730427742004395
5000,-206.76400260622896,137.80959812180419,5.570980072021484
6000,-99.48555809088688,49.14169735659213,6.965356826782227
7000,-100.09674730139967,49.635799249484315,8.277557849884033
8000,-119.46700713738696,104.73255804349306,9.597079038619995
9000,-142.56805293924828,88.19459292291847,10.948819875717163
10000,-122.74298941923871,3.840757115492288,12.398488998413086
11000,-144.40938348852305,42.71842681298889,13.75558090209961
12000,-145.60310021855517,47.037358371132434,15.092262983322144
13000,-148.47950292066972,60.1433050971452,16.434000968933105
14000,-143.82967466449352,45.17577320707478,17.811903953552246
15000,-158.4170536086814,106.38845877778404,19.196186065673828
16000,-143.67014314831135,46.44891965903799,20.550544023513794
17000,-242.68643065080883,72.98670702187563,21.942975997924805
18000,-119.50304040793522,130.35170177631747,23.31532311439514
19000,-97.34322496711383,48.21612183001145,24.68846297264099
20000,-96.64234376432064,48.190473258774375,26.114696741104126
21000,-166.3219124158435,53.90770362741296,27.489139795303345
22000,-167.28829100146078,96.66554812428939,28.875048875808716
23000,-122.31733332154568,74.50778151857111,30.261157989501953
24000,-213.51997410546204,46.20921689255356,31.65321111679077
25000,-168.80884233442674,60.436270190394076,33.05319094657898
26000,-194.81260396075828,86.28434063495685,34.446518898010254
27000,-137.4537671266085,101.56409707035093,35.84471011161804
28000,-118.55780057014405,72.83527780705435,37.24571490287781
29000,-124.08238309026176,3.5566952243875396,38.644519090652466
30000,-211.89635125567756,108.66865984695507,40.04925513267517
