episode,step,episode_return,elapsed_s
1,200,-1071.9307048996702,0.0035240650177001953
2,400,-1508.1563816791408,0.006811857223510742
3,600,-1264.8171772069759,0.010106086730957031
4,800,-975.6967559825596,0.013382196426391602
5,1000,-972.1087893348468,0.016662120819091797
6,1200,-1525.5428927333833,0.3324439525604248
7,1400,-1512.6427039632456,0.5841569900512695
8,1600,-854.8066351027551,0.8361999988555908
9,1800,-1407.3021143559004,1.0871400833129883
10,2000,-963.0603301699241,1.3672780990600586
11,2200,-1558.7463995630267,1.6713840961456299
12,2400,-865.6297337412002,1.9289979934692383
13,2600,-1150.5216050503636,2.1859261989593506
14,2800,-1648.4121151974846,2.441857099533081
15,3000,-963.3070464851155,2.6978230476379395
16,3200,-1155.4358875325224,3.0076138973236084
17,3400,-1335.546887625273,3.2620530128479004
18,3600,-876.4971890182591,3.5452558994293213
19,3800,-930.688121087529,3.80008602142334
20,4000,-1557.6118868424035,4.05425500869751
21,4200,-863.7933601645578,4.3603599071502686
22,4400,-964.1581190466542,4.618036985397339
23,4600,-924.4870150524087,4.884490966796875
24,4800,-1305.0494726218503,5.147654056549072
25,5000,-1599.036894557148,5.422661066055298
26,5200,-1309.718653839971,5.735975980758667
27,5400,-1404.6263739114243,5.9963319301605225
28,5600,-982.9233883489477,6.268109083175659
29,5800,-969.6003588006187,6.540280103683472
30,6000,-1176.8434179458752,6.806299209594727
31,6200,-976.033128029776,7.119446039199829
32,6400,-1360.7299921476363,7.384114027023315
33,6600,-1250.8782139320147,7.64821195602417
34,6800,-1112.89609268764,7.91153883934021
35,7000,-885.7859236883186,8.177227973937988
36,7200,-866.0020788883929,8.493942022323608
37,7400,-919.5032791399541,8.759109020233154
38,7600,-756.5861483107212,9.031986951828003
39,7800,-754.2447499600429,9.300379991531372
40,8000,-1866.9827991964805,9.565401077270508
41,8200,-966.3640531490128,9.883321046829224
42,8400,-1022.7306292342996,10.15211796760559
43,8600,-1059.520226157775,10.422192811965942
44,8800,-1170.7374275691984,10.68955397605896
45,9000,-1403.2157831462657,10.955811023712158
46,9200,-1687.3734053620599,11.268539905548096
47,9400,-1603.9158014264988,11.595995903015137
48,9600,-1431.5973277060978,11.867576122283936
49,9800,-1399.106532792417,12.141587018966675
50,10000,-1558.3471065692117,12.41307282447815
51,10200,-0.86711234061286,12.733920097351074
