episode,step,episode_return,elapsed_s
1,200,-876.4881863109417,0.003690958023071289
2,400,-1450.271577887391,0.007031917572021484
3,600,-1046.7649253617572,0.01055598258972168
4,800,-1196.8423191707593,0.013919830322265625
5,1000,-766.2595676257899,0.01777195930480957
6,1200,-964.9665039475076,0.6359288692474365
7,1400,-963.5690117328639,1.1366031169891357
8,1600,-1274.910163309914,1.6318399906158447
9,1800,-1445.5343021540552,2.125194787979126
10,2000,-1317.9235457439318,2.6253297328948975
11,2200,-1105.7343044964246,3.153930902481079
12,2400,-870.6696539701863,3.649533748626709
13,2600,-1821.6956488438937,4.150182723999023
14,2800,-757.9281880526814,4.652624130249023
15,3000,-1587.3058550316257,5.157527923583984
16,3200,-744.9514963928857,5.707313776016235
17,3400,-884.5847971820197,6.209660768508911
18,3600,-1071.1923467386023,6.710879802703857
19,3800,-1686.8714466644547,7.2199320793151855
20,4000,-721.2969176193229,7.733505010604858
21,4200,-959.751575834864,8.273846864700317
22,4400,-910.0617343296947,8.781402111053467
23,4600,-1667.0390710109216,9.286472797393799
24,4800,-892.1815602812521,9.798057794570923
25,5000,-1391.5883558219148,10.309197902679443
26,5200,-1138.24103505524,10.859058856964111
27,5400,-1443.4533491761904,11.398965835571289
28,5600,-1161.994221749272,11.907935857772827
29,5800,-1490.1194778990614,12.412515878677368
30,6000,-1354.8990277535534,12.914031982421875
31,6200,-1102.4059024746289,13.465386867523193
32,6400,-945.6993237242757,13.97225284576416
33,6600,-1550.6899627452992,14.478883028030396
34,6800,-1383.0929717433073,14.986013889312744
35,7000,-1395.2644767525808,15.474277973175049
36,7200,-1362.158860863971,16.03256583213806
37,7400,-1424.5712270280978,16.535984992980957
38,7600,-876.8422719934077,17.031074047088623
39,7800,-1070.5401192874342,17.52691388130188
40,8000,-1445.153963632214,18.021660089492798
41,8200,-906.6512322499319,18.564995050430298
42,8400,-1165.8825591615064,19.069503784179688
43,8600,-1098.260432449647,19.565990686416626
44,8800,-1650.8109623884664,20.100525856018066
45,9000,-969.7425926345799,20.60167908668518
46,9200,-1051.498900936419,21.14698576927185
47,9400,-850.101387326232,21.66848397254944
48,9600,-1410.8955734701724,22.19203805923462
49,9800,-1544.2612301884212,22.69900894165039
50,10000,-1049.88963336987,23.207468032836914
51,10200,-122.37923058640814,23.763028860092163
52,10400,-230.13879399431463,24.289243936538696
53,10600,-118.66613251034954,24.812067985534668
54,10800,-0.9744164404492028,25.350855112075806
55,11000,-335.29800737017456,25.870346784591675
56,11200,-116.04900400657087,26.42305302619934
57,11400,-118.94452204269669,26.932134866714478
58,11600,-121.4577567686616,27.450568914413452
59,11800,-124.65760664444053,27.964148998260498
60,12000,-121.6948414857596,28.476353883743286
61,12200,-125.77514587219011,29.037561893463135
62,12400,-119.68653869151038,29.545759916305542
63,12600,-3.239488604016045,30.06168293952942
64,12800,-226.9118840431316,30.58289885520935
65,13000,-119.19760892610098,31.10752773284912
66,13200,-258.2076344625682,31.685576915740967
67,13400,-229.42843680978646,32.21173810958862
68,13600,-115.53495880479262,32.72463297843933
69,13800,-125.22404313579882,33.26360106468201
70,14000,-120.05080340632317,33.781067848205566
71,14200,-236.6774830290983,34.3552360534668
72,14400,-114.86460439573123,34.88313579559326
73,14600,-1.1763222400978486,35.4218647480011
74,14800,-121.22283967545287,35.94992399215698
75,15000,-1.396323004924836,36.4703209400177
76,15200,-260.85837372129737,37.03566288948059
77,15400,-121.38321945666775,37.569058895111084
78,15600,-237.94572424972733,38.09308886528015
79,15800,-116.93943344332348,38.61762881278992
80,16000,-120.44445235970197,39.130443811416626
81,16200,-127.420237147122,39.67939591407776
82,16400,-123.19125635157718,40.210906982421875
83,16600,-1.303592526334139,40.74744272232056
84,16800,-128.41864419652535,41.273317098617554
85,17000,-121.57392432168166,41.811893939971924
86,17200,-119.85973909696924,42.375125885009766
87,17400,-123.64717046344519,42.92496609687805
88,17600,-124.10060685192055,43.46288204193115
89,17800,-362.9803904030197,43.99834990501404
90,18000,-324.20048072476646,44.53835105895996
91,18200,-119.5708209759429,45.13072395324707
92,18400,-121.11641372371572,45.66435384750366
93,18600,-354.5686292228504,46.19900393486023
94,18800,-340.4975123939713,46.73412799835205
95,19000,-239.10443005223436,47.26198697090149
96,19200,-116.59779343883918,47.815452098846436
97,19400,-124.82097050807654,48.342031955718994
98,19600,-239.79539575924179,48.87737274169922
99,19800,-123.42567743910178,49.40767979621887
100,20000,-233.57393385411712,49.93404483795166
101,20200,-2.47512319760796,50.51324486732483
102,20400,-117.24613738450626,51.04050874710083
103,20600,-232.05768544676013,51.56848883628845
104,20800,-127.01865642875433,52.12225294113159
105,21000,-119.56028715841506,52.6548798084259
106,21200,-265.46316676538447,53.24259972572327
107,21400,-2.6064917925087565,53.78546595573425
108,21600,-1.752121705264233,54.32913303375244
109,21800,-227.9737870949911,54.86934995651245
110,22000,-121.74844899450491,55.423945903778076
111,22200,-127.996605402683,56.006974935531616
112,22400,-244.9252359240597,56.54948902130127
113,22600,-236.02115880310598,57.07407784461975
114,22800,-118.9197878524374,57.61530590057373
115,23000,-228.8183793700918,58.15270805358887
116,23200,-119.61006494151827,58.72853398323059
117,23400,-3.110733035267744,59.25837588310242
118,23600,-229.09878149360867,59.79652190208435
119,23800,-122.29307243997424,60.32695293426514
120,24000,-255.01689740551862,60.86764883995056
121,24200,-229.77351875509387,61.44828796386719
122,24400,-235.54996141591695,61.9901819229126
123,24600,-119.37476014412866,62.5248339176178
124,24800,-118.79595553132916,63.07682800292969
125,25000,-118.85383032520657,63.619011878967285
126,25200,-129.06214165660805,64.22196698188782
127,25400,-3.6175032304672543,64.76351594924927
128,25600,-120.0305402612347,65.30259704589844
129,25800,-228.25435326231803,65.86024188995361
130,26000,-117.71092766472289,66.39867091178894
131,26200,-2.092121951947997,66.97828388214111
132,26400,-120.2448574655466,67.51673579216003
133,26600,-125.39240773260369,68.05076193809509
134,26800,-249.35604584973004,68.58740711212158
135,27000,-120.0621318130855,69.11926174163818
136,27200,-228.5099516928285,69.69065475463867
137,27400,-125.16461533805577,70.23145484924316
138,27600,-125.32856377343106,70.77161693572998
139,27800,-233.93705939371787,71.3128969669342
140,28000,-228.2214296137582,71.88879990577698
141,28200,-128.4903706478802,72.49432492256165
142,28400,-124.14850560397797,73.04128289222717
143,28600,-297.3909768122971,73.59970593452454
144,28800,-115.139940808091,74.15620398521423
145,29000,-121.80704167474022,74.69723987579346
146,29200,-114.15362764576558,75.28870892524719
147,29400,-252.57146238648107,75.84707498550415
148,29600,-122.54769883289977,76.39959073066711
149,29800,-123.48008027324926,76.9405517578125
150,30000,-229.9764245988263,77.47769093513489
151,30200,-123.98802699214716,78.05889892578125
152,30400,-2.5869125797486014,78.59716606140137
153,30600,-126.69823001717974,79.13428497314453
154,30800,-243.4510153007802,79.6707911491394
155,31000,-126.97886131467669,80.2121069431305
156,31200,-124.88886122785586,80.80464506149292
157,31400,-124.78371173630629,81.3466649055481
158,31600,-7.540997571872126,81.88918280601501
159,31800,-123.20001463982747,82.43740105628967
160,32000,-226.11242230837945,82.9809148311615
161,32200,-115.47969748924919,83.58194184303284
162,32400,-323.6296260173898,84.13804697990417
163,32600,-122.55587488447192,84.68439888954163
164,32800,-125.87821360035443,85.2317099571228
165,33000,-229.06236150503523,85.78203296661377
166,33200,-120.87159728525567,86.38534283638
167,33400,-119.49965515134295,86.94959616661072
168,33600,-126.09920747654476,87.478266954422
169,33800,-120.26219371300634,88.02885389328003
170,34000,-115.63822511910537,88.56839108467102
171,34200,-119.45811871845659,89.1624128818512
172,34400,-116.21134412138515,89.70548701286316
173,34600,-1.2886722636571248,90.23798179626465
174,34800,-1.2189416806795343,90.7917890548706
175,35000,-120.34236380167286,91.33672285079956
176,35200,-123.00260249459977,91.9337420463562
177,35400,-1.5632769792472123,92.48610496520996
178,35600,-117.97724489860609,93.03266501426697
179,35800,-125.57783842275069,93.5846619606018
180,36000,-1.7442599756820003,94.14096784591675
181,36200,-126.37910112773882,94.74275183677673
182,36400,-115.55854285560498,95.30361199378967
183,36600,-232.07916604591537,95.84914588928223
184,36800,-118.74678682512108,96.40767288208008
185,37000,-2.1456880612582685,96.97187185287476
186,37200,-125.61455581965119,97.55711603164673
187,37400,-116.66690734405655,98.10099387168884
188,37600,-1.434864763111587,98.6525559425354
189,37800,-245.52884050682673,99.18862390518188
190,38000,-122.13263235374826,99.72282195091248
191,38200,-125.2501417688696,100.31642007827759
192,38400,-113.73902720679972,100.86375594139099
193,38600,-117.33638052265376,101.40882301330566
194,38800,-124.86473803831295,101.95897698402405
195,39000,-116.88702914883382,102.50718307495117
196,39200,-1.0465500051712626,103.10456895828247
197,39400,-126.80156999494265,103.66650986671448
198,39600,-124.90130675115583,104.22302579879761
199,39800,-118.40714530933774,104.7794201374054
200,40000,-120.06938017527058,105.30572581291199
