episode,step,episode_return,elapsed_s
1,200,-1071.9307048996702,0.003682851791381836
2,400,-1508.1563816791408,0.0069959163665771484
3,600,-1264.8171772069759,0.010290861129760742
4,800,-975.6967559825596,0.013571023941040039
5,1000,-972.1087893348468,0.016848087310791016
6,1200,-1525.5428927333833,0.6334819793701172
7,1400,-1512.6427039632456,1.1347439289093018
8,1600,-854.8066351027551,1.6286938190460205
9,1800,-1407.3021143559004,2.121880054473877
10,2000,-963.0603301699241,2.624753713607788
11,2200,-1558.7463995630267,3.157991886138916
12,2400,-865.6297337412002,3.6534528732299805
13,2600,-1150.5216050503636,4.164779901504517
14,2800,-1648.4121151974846,4.6647820472717285
15,3000,-963.3070464851155,5.16936993598938
16,3200,-1155.4358875325224,5.715930938720703
17,3400,-1335.546887625273,6.217382907867432
18,3600,-876.4971890182591,6.710767984390259
19,3800,-930.688121087529,7.222535133361816
20,4000,-1557.6118868424035,7.735276937484741
21,4200,-863.7933601645578,8.274406909942627
22,4400,-964.1581190466542,8.784017086029053
23,4600,-924.4870150524087,9.283679962158203
24,4800,-1305.0494726218503,9.791798830032349
25,5000,-1599.036894557148,10.29651689529419
26,5200,-1309.718653839971,10.831970930099487
27,5400,-1404.6263739114243,11.375399827957153
28,5600,-982.9233883489477,11.886375904083252
29,5800,-969.6003588006187,12.393274068832397
30,6000,-1176.8434179458752,12.893404006958008
31,6200,-976.033128029776,13.436462879180908
32,6400,-1360.7299921476363,13.933302879333496
33,6600,-1250.8782139320147,14.44205093383789
34,6800,-1112.89609268764,14.944386005401611
35,7000,-885.7859236883186,15.432966947555542
36,7200,-866.0020788883929,15.99055290222168
37,7400,-919.5032791399541,16.49272584915161
38,7600,-756.5861483107212,16.987365007400513
39,7800,-754.2447499600429,17.48356795310974
40,8000,-1866.9827991964805,17.979740858078003
41,8200,-966.3640531490128,18.516860008239746
42,8400,-1022.7306292342996,19.02315902709961
43,8600,-1059.520226157775,19.515357732772827
44,8800,-1170.7374275691984,20.04609704017639
45,9000,-1403.2157831462657,20.552674055099487
46,9200,-1687.3734053620599,21.086769819259644
47,9400,-1603.9158014264988,21.60682988166809
48,9600,-1431.5973277060978,22.124461889266968
49,9800,-1399.106532792417,22.633500814437866
50,10000,-1558.347469813654,23.140894889831543
51,10200,-0.7818619994937233,23.688724994659424
52,10400,-114.43518962207666,24.214428901672363
53,10600,-118.6502181792,24.72751784324646
54,10800,-1.8137524156777691,25.26514196395874
55,11000,-312.54698319738606,25.7829749584198
56,11200,-126.83711252533597,26.33808183670044
57,11400,-120.9078239443948,26.8457670211792
58,11600,-117.82232722968308,27.36590003967285
59,11800,-272.72897046083636,27.86845898628235
60,12000,-126.53146610009986,28.383328914642334
61,12200,-255.5657536463637,28.929798126220703
62,12400,-237.7380704149282,29.440435886383057
63,12600,-117.38821023353154,29.950049877166748
64,12800,-237.07358800731353,30.473474979400635
65,13000,-227.56489691427336,30.98795199394226
66,13200,-125.96878154956234,31.565788745880127
67,13400,-117.49755574334725,32.09687376022339
68,13600,-119.78545757520965,32.611976861953735
69,13800,-117.23276515741959,33.140787839889526
70,14000,-260.0425432499952,33.6653618812561
71,14200,-2.7736123912058086,34.2288658618927
72,14400,-241.8648137116689,34.76567006111145
73,14600,-4.71498735134694,35.296180963516235
74,14800,-299.26871536144574,35.828141927719116
75,15000,-3.865328358486942,36.36014676094055
76,15200,-346.98881051025114,36.91368579864502
77,15400,-237.08584519629775,37.4505660533905
78,15600,-120.17025969201134,37.983654737472534
79,15800,-279.6180797157074,38.505329847335815
80,16000,-241.1888230655651,39.02080202102661
81,16200,-124.24653437481508,39.5633339881897
82,16400,-1.2101743749724232,40.08915400505066
83,16600,-118.65003573802001,40.62539887428284
84,16800,-121.09738560009508,41.156156063079834
85,17000,-235.91612796811577,41.69340395927429
86,17200,-125.76665623311771,42.248626947402954
87,17400,-119.84128033535964,42.78734087944031
88,17600,-232.35719590780812,43.330183029174805
89,17800,-120.5019200385934,43.86546874046326
90,18000,-229.61264037181203,44.40623188018799
91,18200,-237.95889433653514,44.992132902145386
92,18400,-235.91204114911181,45.531867027282715
93,18600,-123.35076346051318,46.06209993362427
94,18800,-127.17668416438838,46.59627294540405
95,19000,-127.59719867917381,47.12657976150513
96,19200,-117.96584464927004,47.68254494667053
97,19400,-1.3524786735193215,48.20476579666138
98,19600,-356.7496302310874,48.72744178771973
99,19800,-329.0217045542852,49.255953788757324
100,20000,-357.2065375652274,49.791624784469604
101,20200,-121.45435408560418,50.35995888710022
102,20400,-122.73092161668669,50.887242794036865
103,20600,-125.40537541491071,51.42063307762146
104,20800,-291.0033894932354,51.969412088394165
105,21000,-1.0437662765272304,52.508548974990845
106,21200,-116.85189067212278,53.08491897583008
107,21400,-242.48098964408646,53.62731194496155
108,21600,-230.44662915080832,54.1703667640686
109,21800,-237.99612369771037,54.71052575111389
110,22000,-227.76306329940104,55.26557207107544
111,22200,-242.03305155416996,55.84546089172363
112,22400,-226.3533682465842,56.3870587348938
113,22600,-236.12445494288787,56.91118001937866
114,22800,-1.004468721947043,57.453152894973755
115,23000,-123.64649295410675,57.987865924835205
116,23200,-121.12536999337442,58.56694293022156
117,23400,-1.169322358858249,59.09853410720825
118,23600,-237.9123234769068,59.6296329498291
119,23800,-120.01418721706462,60.1618127822876
120,24000,-1.3361641327595752,60.700700759887695
121,24200,-123.6460675397487,61.273515939712524
122,24400,-118.23523565116209,61.80962800979614
123,24600,-116.82222045616315,62.34887385368347
124,24800,-121.80326749877415,62.894317865371704
125,25000,-245.67911482606036,63.44385385513306
126,25200,-125.9620752880635,64.03148579597473
127,25400,-341.3796335447045,64.58518195152283
128,25600,-1.112267079807246,65.12054085731506
129,25800,-242.23146903148015,65.67506384849548
130,26000,-121.32624292605405,66.2259418964386
131,26200,-118.67237610383532,66.80016088485718
132,26400,-119.69734490977015,67.34585213661194
133,26600,-124.15669400315278,67.87706589698792
134,26800,-1.809266404513362,68.417475938797
135,27000,-125.33292160587195,68.95977592468262
136,27200,-118.29636028647539,69.5242657661438
137,27400,-233.28980720670995,70.06323981285095
138,27600,-113.62136854835992,70.61301279067993
139,27800,-122.59626280830432,71.15207386016846
140,28000,-222.575066786933,71.71988606452942
141,28200,-0.9914976692309323,72.32712388038635
142,28400,-234.64407169068718,72.8827018737793
143,28600,-229.05413680176127,73.43181681632996
144,28800,-121.8558701062609,73.98449611663818
145,29000,-2.483175726510556,74.52976894378662
146,29200,-125.01672253383254,75.11761093139648
147,29400,-1.0959723944274509,75.67204093933105
148,29600,-129.29317024180034,76.22892189025879
149,29800,-245.55483327748502,76.76844692230225
150,30000,-121.672466925813,77.31109285354614
151,30200,-232.59595106740488,77.88551378250122
152,30400,-249.55121592532606,78.41792702674866
153,30600,-125.40254074965358,78.9561357498169
154,30800,-1.776381970070229,79.49691486358643
155,31000,-342.68959594124976,80.0485291481018
156,31200,-117.60807755517811,80.64022278785706
157,31400,-119.5781351442129,81.17754483222961
158,31600,-4.128377726387247,81.73132681846619
159,31800,-122.47425007988527,82.2724359035492
160,32000,-121.03438994355672,82.82641506195068
161,32200,-3.798435370369415,83.42007899284363
162,32400,-242.83147719318626,83.97181987762451
163,32600,-123.08721431323907,84.52351784706116
164,32800,-120.89645077370936,85.07025408744812
165,33000,-124.44711102355073,85.61821484565735
166,33200,-247.5244195848246,86.219890832901
167,33400,-1.0149208546521586,86.77879500389099
168,33600,-126.18450033249559,87.31988501548767
