episode,step,episode_return,elapsed_s
1,276,88.41154066048443,0.0009021759033203125
2,1275,-36.55119881612933,0.6875550746917725
3,1583,89.79444900105074,1.2433412075042725
4,1899,88.94386248807723,1.8034451007843018
5,2898,-35.45516701782587,3.7568509578704834
6,3857,68.85502795716395,5.675546169281006
7,4856,-29.318460972957407,7.6294591426849365
8,5855,-28.287808097803893,9.580815076828003
9,6854,-32.39136568404401,11.55637001991272
10,7477,78.64809315615732,12.763216257095337
11,7999,81.89437911363521,13.695438146591187
12,8466,84.77608888795243,14.71167802810669
13,9101,81.92404591102179,16.105900049209595
14,10080,68.3000444228791,18.440048217773438
15,10181,93.268583226656,18.637829303741455
16,10318,92.88685669019947,18.9080171585083
17,10441,92.48783388825655,19.1483371257782
18,10604,91.71682460081114,19.4602792263031
19,10753,93.48263112919943,19.746674060821533
20,10910,92.01489113969151,20.065862894058228
21,11053,92.95617997241695,20.389231204986572
22,11192,94.08060240127858,20.657207012176514
23,11371,88.89874689037606,21.014321327209473
24,11477,93.44530018464025,21.23375105857849
25,11566,95.04357767892526,21.40764021873474
26,11711,92.8528786860233,21.696115016937256
27,11786,95.61811552364567,21.844640016555786
28,11870,95.42945020725932,22.00831627845764
29,11950,94.97163489580504,22.164428234100342
30,12098,92.14008534524258,22.472920179367065
31,12178,94.92302437235399,22.63072633743286
32,12264,94.40037400154766,22.79587721824646
33,12411,91.91420399420011,23.110310316085815
34,12492,94.61675127751812,23.269776105880737
35,12575,94.2963806217798,23.43938422203064
36,12726,91.04271811124141,23.7419912815094
37,12883,91.2681667448276,24.06344723701477
38,12967,93.95397701213697,24.235249996185303
39,13046,93.94191493117344,24.413913249969482
40,13196,91.49071197223071,24.710905075073242
41,13289,93.8674523014119,24.944120168685913
42,13384,93.85614818972608,25.140341997146606
43,13466,94.2432817083897,25.302309274673462
44,13558,93.8756193783297,25.48235511779785
45,13717,89.82898037087138,25.79029417037964
46,13795,94.70096898411246,25.939409255981445
47,13944,90.90526082671006,26.23071312904358
48,14073,91.2283531118228,26.504069089889526
49,14219,91.0265107596484,26.79180598258972
50,14300,94.19939893348914,26.965936183929443
51,14378,94.84064293642571,27.159257173538208
52,14525,91.72754954022272,27.451725244522095
53,14604,95.0005302484764,27.605877161026
54,14757,91.7173450653759,27.90742301940918
55,14899,92.0948385925589,28.210164070129395
56,15114,90.154052068508,28.668824195861816
57,15267,93.25018709229595,28.976376056671143
58,15437,90.90562797136722,29.31798028945923
59,15694,88.93819546561453,29.82468318939209
60,15883,91.5147230083941,30.21561908721924
61,16122,91.00277758407444,30.739819049835205
62,16351,91.39845289179077,31.1929612159729
63,16477,94.78200092716877,31.446529150009155
64,16687,93.01227693693723,31.857057094573975
65,16887,91.9994535386788,32.25084209442139
66,17031,93.9524339347591,32.57339334487915
67,17229,92.96204417591115,32.967066287994385
68,17398,92.60885422103776,33.300585985183716
69,17566,93.66593937023438,33.631006956100464
70,17746,93.51863672331649,33.99923014640808
71,17903,92.42585980240953,34.30756402015686
72,17983,95.94381207697157,34.48139715194702
73,18131,94.19754932699408,34.796595096588135
74,18212,95.83475384935913,34.960050106048584
75,18359,92.57250481613242,35.27064824104309
76,18518,91.5957139391561,35.58924221992493
77,18683,91.72691956369351,35.91488528251648
78,18758,95.89772084355839,36.063512086868286
79,18841,95.96043478973277,36.23151516914368
80,18992,92.46061656985191,36.52508902549744
81,19077,95.8003713440539,36.71745419502258
82,19225,92.49063658706628,37.006548166275024
83,19309,95.74048643385264,37.177645206451416
84,19392,95.76889406395979,37.34574007987976
85,19538,93.06438206371166,37.63394117355347
86,19682,92.50537037152256,37.92110800743103
87,19764,95.82163691256245,38.080443143844604
