episode,step,episode_return,elapsed_s
1,999,-32.50420102470027,0.012060165405273438
2,1998,-35.035935179933475,2.809166193008423
3,2997,-32.69248547445046,5.701298236846924
4,3996,-32.46458540281787,8.588211297988892
5,4995,-35.142317658089446,11.45980715751648
6,5994,-32.23419828977042,14.371957063674927
7,6993,-34.05928261725336,17.323291301727295
8,7992,-33.79233718941918,20.18510627746582
9,8991,-33.27828496924111,23.03866720199585
10,9990,-32.69640343999208,25.917627334594727
11,10989,-29.99003156359891,29.00733518600464
12,11988,-30.929925654229184,31.938782215118408
13,12987,-30.23003978520666,34.87147116661072
14,13986,-30.940729834268613,37.86480212211609
15,14985,-29.9302860821264,40.81482720375061
16,15984,-30.089712781891844,43.76451110839844
17,16983,-29.79168831694711,46.710310220718384
18,17982,-28.681639165008082,49.70555019378662
19,18981,-30.340562460200548,52.61853528022766
20,19980,-29.801919785252277,55.560718059539795
21,20979,-29.822513291921933,58.540566205978394
22,21978,-31.955771242150018,61.49038124084473
23,22977,-29.55679810519511,64.42248320579529
24,23976,-30.74593326462704,67.40987801551819
25,24975,-30.045809328840594,70.40862536430359
26,25974,-31.5312047923129,73.42226815223694
27,26973,-29.35640342050431,76.50067615509033
28,27972,-29.200523931570896,79.61485433578491
29,28971,-29.152442845533717,82.70120811462402
30,29970,-30.548759924018594,85.87694835662842
31,30969,-29.553690495086208,89.10019421577454
32,31968,-31.137285979684858,92.27815818786621
33,32967,-29.492999367471334,95.40983033180237
34,33966,-29.74843470003324,98.68584442138672
35,34965,-30.441719222328146,101.90452122688293
36,35964,-30.295510511719318,105.05107402801514
37,36963,-30.94962510971334,108.30853414535522
38,37962,-31.198364306835114,111.5844783782959
39,38961,-29.688648870118886,114.77295017242432
40,39960,-29.98318511681809,118.054603099823
41,40959,-29.858451197141115,121.3718011379242
42,41958,-29.137279780721855,124.61631512641907
43,42957,-31.062325395531893,127.91016340255737
44,43956,-29.56346798905562,131.25323700904846
45,44955,-31.47850834735033,134.5066101551056
46,45954,-30.48287377364705,137.82237815856934
47,46953,-31.514123385937605,141.19649934768677
48,47952,-30.934833717407987,144.4574761390686
49,48951,-29.785271653857635,147.74268913269043
50,49950,-29.538188918666755,151.13783717155457
51,50949,-29.38863934145527,154.42213606834412
52,51948,-29.33601866402301,157.7441921234131
53,52947,-29.338449511114888,161.17142915725708
54,53946,-31.430041518338832,164.46261715888977
55,54945,-29.250875459119232,167.75055718421936
56,55944,-29.555548001893133,171.1503460407257
57,56943,-30.18895733069242,174.45071530342102
58,57942,-29.265266277750666,177.75032925605774
59,58941,-30.12983154034029,181.15925240516663
60,59940,-30.089740685490995,184.46199417114258
61,60939,-30.138206252838852,187.755624294281
62,61938,-29.9224040614772,191.19269919395447
63,62937,-30.556091248930027,194.5096561908722
64,63936,-31.339540933587198,197.87536120414734
65,64935,-29.378323787951004,201.43867421150208
66,65934,-30.121697116948923,204.90557527542114
67,66933,-30.62471975586805,208.36405515670776
68,67932,-32.0285497444181,211.59499716758728
69,68931,-31.09114316070536,214.83516812324524
70,69930,-29.801857519588907,218.0842170715332
71,70929,-29.89198799254264,222.1306071281433
72,71928,-29.416258317891295,225.55192518234253
73,72927,-31.84821612393147,228.98472237586975
74,73926,-28.881420563707575,232.43261003494263
75,74925,-29.481035536678693,235.71197533607483
76,75924,-29.622359432572424,239.90740299224854
77,76923,-30.797041693153997,243.48332715034485
78,77922,-31.92196492279056,246.94569420814514
79,78921,-30.070435239700807,250.37882232666016
80,79920,-31.147644555602714,254.19882440567017
81,80919,-29.45306051806805,257.7145481109619
82,81918,-29.409293595395578,261.27715516090393
83,82917,-30.306677462384584,264.73489928245544
84,83916,-29.7043752550329,268.21809935569763
85,84915,-31.075125351865854,271.7259011268616
86,85914,-30.778196787879796,275.1120412349701
87,86913,-31.488551776941744,278.5992362499237
88,87912,-31.021473257847436,282.12515211105347
89,88911,-29.938101333046237,285.53452920913696
90,89910,-30.46075010811747,289.0702211856842
91,90909,-30.447110471187933,292.5807752609253
92,91908,-30.197311399078835,296.0544981956482
93,92907,-29.264426633130512,299.59304022789
94,93906,-31.252402536731754,303.1090202331543
95,94905,-29.94247129333725,306.53704929351807
96,95904,-29.563786482953542,310.09827423095703
97,96903,-30.127532955089038,313.58734226226807
98,97902,-29.159053779170023,316.99744510650635
99,98901,-28.97207311947715,320.54299211502075
100,99900,-30.26916486074472,324.0456032752991
101,100899,-29.875373160672815,327.4910080432892
102,101898,-31.1289022139518,331.07764625549316
103,102897,-31.230554653660697,334.5685842037201
104,103896,-30.12412128666807,338.01883125305176
105,104895,-30.678265153446098,341.58778619766235
106,105894,-30.734855173924462,345.08778715133667
107,106893,-31.111184681527767,348.58139538764954
108,107892,-29.117297033062446,352.16873717308044
109,108891,-28.741450418431803,355.632954120636
110,109890,-30.265832529408453,359.1039459705353
111,110889,-30.289171301090974,362.683895111084
112,111888,-30.097140715813502,366.1670961380005
113,112887,-31.08722249258041,369.688175201416
114,113886,-31.20808400559302,373.3053071498871
115,114885,-32.130050695934415,376.8377311229706
116,115884,-30.267540539886273,380.36429023742676
117,116883,-31.096335763201367,383.9615361690521
118,117882,-32.54678093779327,387.46205735206604
119,118881,-29.810651141245813,391.01087832450867
120,119880,-31.484586572608553,394.5788233280182
121,120879,-32.73731450378167,398.0185673236847
122,121878,-31.77855119973188,401.58467411994934
123,122877,-30.294677209445798,405.14923429489136
124,123876,-28.879323967132997,408.62941002845764
125,124875,-30.94093573486383,412.2541582584381
126,125874,-30.77994451600899,415.8184311389923
127,126873,-29.954079574589617,419.2832202911377
128,127872,-30.467442385887846,422.8784441947937
129,128871,-30.487401790088047,426.43712425231934
130,129870,-31.86563909742485,430.0508282184601
131,130869,-30.240879828336276,433.72070240974426
132,131868,-29.807225699683574,437.28214621543884
133,132867,-29.868099811808026,440.80881428718567
134,133866,-29.5263213167132,444.4411823749542
135,134865,-30.736388972105825,448.02560019493103
136,135864,-29.774270412005627,451.62418723106384
137,136863,-30.170423300205098,455.2720980644226
138,137862,-29.90740441573847,458.7584240436554
139,138861,-31.291098533851283,462.34593510627747
140,139860,-30.149382537264234,465.9243211746216
141,140859,-29.563913066213924,469.4148590564728
142,141858,-30.45418523620711,473.025071144104
143,142857,-29.592058058394166,476.58564615249634
144,143856,-29.245944861590754,480.09696412086487
145,144855,-31.617046576927,483.7671763896942
146,145854,-30.95106975503345,487.30345821380615
147,146853,-29.302179944337173,490.8186571598053
148,147852,-30.050218885522433,494.45179319381714
149,148851,-30.992689008160273,498.0371141433716
150,149850,-29.634274413071648,501.5985863208771
151,150849,-30.61807162109146,505.5572102069855
152,151848,-31.036880084349605,509.46437406539917
153,152847,-30.240802942645033,514.1950931549072
154,153846,-29.661354038471973,517.8121430873871
155,154845,-31.704322037806758,521.4053640365601
156,155844,-28.86805955446065,525.0129930973053
157,156843,-30.613186380225294,528.8102202415466
158,157842,-29.539673729156004,532.386922121048
159,158841,-30.89036397641799,536.1138112545013
160,159840,-30.235170749172454,539.6229870319366
161,160839,-29.885419468783308,543.3512492179871
162,161838,-29.485892869993872,546.90660405159
